grid_row,grid_col,lon_center,lat_center,lon_left,lon_right,lat_bottom,lat_top,dominant_land_cover_code,dominant_land_cover_label,dominant_land_cover_share_pct,land_cover_pixel_count,land_cover_10_count,land_cover_10_share_pct,land_cover_20_count,land_cover_20_share_pct,land_cover_30_count,land_cover_30_share_pct,land_cover_40_count,land_cover_40_share_pct,land_cover_50_count,land_cover_50_share_pct,land_cover_60_count,land_cover_60_share_pct,land_cover_70_count,land_cover_70_share_pct,land_cover_80_count,land_cover_80_share_pct,land_cover_90_count,land_cover_90_share_pct,land_cover_95_count,land_cover_95_share_pct,land_cover_100_count,land_cover_100_share_pct,quality_band_1_mean,quality_band_1_count,quality_band_2_mean,quality_band_2_count,quality_band_3_mean,quality_band_3_count
49,132,98.98737938,18.79894661,98.98690491,98.98785385,18.79849745,18.79939576,50,Built-up,97.520661,121,3,2.479339,0,0.000000,0,0.000000,0,0.000000,118,97.520661,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,58.000000,4,52.000000,4,34.000000,4
49,133,98.98832831,18.79894661,98.98785385,98.98880278,18.79849745,18.79939576,50,Built-up,100.000000,132,0,0.000000,0,0.000000,0,0.000000,0,0.000000,132,100.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,58.000000,4,52.000000,4,30.000000,4
49,134,98.98927725,18.79894661,98.98880278,98.98975172,18.79849745,18.79939576,50,Built-up,100.000000,121,0,0.000000,0,0.000000,0,0.000000,0,0.000000,121,100.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,58.000000,4,52.000000,4,31.000000,4
49,135,98.99022618,18.79894661,98.98975172,98.99070065,18.79849745,18.79939576,50,Built-up,100.000000,121,0,0.000000,0,0.000000,0,0.000000,0,0.000000,121,100.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,58.000000,2,52.000000,2,31.000000,2
49,136,98.99117512,18.79894661,98.99070065,98.99164958,18.79849745,18.79939576,50,Built-up,99.242424,132,1,0.757576,0,0.000000,0,0.000000,0,0.000000,131,99.242424,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,58.000000,4,52.000000,4,30.500000,4
49,137,98.99212405,18.79894661,98.99164958,98.99259852,18.79849745,18.79939576,50,Built-up,93.388430,121,8,6.611570,0,0.000000,0,0.000000,0,0.000000,113,93.388430,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,58.000000,4,52.000000,4,28.000000,4
49,138,98.99307299,18.79894661,98.99259852,98.99354745,18.79849745,18.79939576,50,Built-up,93.181818,132,9,6.818182,0,0.000000,0,0.000000,0,0.000000,123,93.181818,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,58.000000,4,52.000000,4,26.000000,4
49,139,98.99402192,18.79894661,98.99354745,98.99449639,18.79849745,18.79939576,50,Built-up,85.123967,121,18,14.876033,0,0.000000,0,0.000000,0,0.000000,103,85.123967,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,58.000000,4,52.000000,4,29.500000,4
49,140,98.99497085,18.79894661,98.99449639,98.99544532,18.79849745,18.79939576,50,Built-up,85.123967,121,0,0.000000,0,0.000000,5,4.132231,13,10.743802,103,85.123967,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,58.000000,4,52.000000,4,29.500000,4
49,141,98.99591979,18.79894661,98.99544532,98.99639426,18.79849745,18.79939576,50,Built-up,67.424242,132,27,20.454545,0,0.000000,0,0.000000,16,12.121212,89,67.424242,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,58.000000,4,52.000000,4,30.500000,4
49,142,98.99686872,18.79894661,98.99639426,98.99734319,18.79849745,18.79939576,50,Built-up,100.000000,121,0,0.000000,0,0.000000,0,0.000000,0,0.000000,121,100.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,58.000000,4,52.000000,4,28.000000,4
49,143,98.99781766,18.79894661,98.99734319,98.99829212,18.79849745,18.79939576,50,Built-up,100.000000,132,0,0.000000,0,0.000000,0,0.000000,0,0.000000,132,100.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,58.000000,4,52.000000,4,29.500000,4
49,144,98.99876659,18.79894661,98.99829212,98.99924106,18.79849745,18.79939576,50,Built-up,95.041322,121,6,4.958678,0,0.000000,0,0.000000,0,0.000000,115,95.041322,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,58.000000,2,52.000000,2,29.000000,2
49,145,98.99971553,18.79894661,98.99924106,99.00018999,18.79849745,18.79939576,50,Built-up,100.000000,121,0,0.000000,0,0.000000,0,0.000000,0,0.000000,121,100.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,58.000000,4,52.000000,4,27.000000,4
49,146,99.00066446,18.79894661,99.00018999,99.00113893,18.79849745,18.79939576,50,Built-up,100.000000,132,0,0.000000,0,0.000000,0,0.000000,0,0.000000,132,100.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,58.000000,4,52.000000,4,30.000000,4
49,147,99.00161339,18.79894661,99.00113893,99.00208786,18.79849745,18.79939576,50,Built-up,64.462810,121,42,34.710744,0,0.000000,0,0.000000,1,0.826446,78,64.462810,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,58.000000,4,52.000000,4,30.500000,4
49,148,99.00256233,18.79894661,99.00208786,99.00303680,18.79849745,18.79939576,80,Permanent water bodies,42.148760,121,48,39.669421,0,0.000000,0,0.000000,13,10.743802,9,7.438017,0,0.000000,0,0.000000,51,42.148760,0,0.000000,0,0.000000,0,0.000000,58.000000,4,52.000000,4,31.500000,4
49,149,99.00351126,18.79894661,99.00303680,99.00398573,18.79849745,18.79939576,50,Built-up,58.333333,132,42,31.818182,0,0.000000,0,0.000000,0,0.000000,77,58.333333,0,0.000000,0,0.000000,13,9.848485,0,0.000000,0,0.000000,0,0.000000,58.000000,4,52.000000,4,31.000000,4
49,150,99.00446020,18.79894661,99.00398573,99.00493466,18.79849745,18.79939576,10,Tree cover,54.545455,121,66,54.545455,0,0.000000,0,0.000000,0,0.000000,55,45.454545,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,58.000000,4,52.000000,4,29.500000,4
49,151,99.00540913,18.79894661,99.00493466,99.00588360,18.79849745,18.79939576,10,Tree cover,62.121212,132,82,62.121212,0,0.000000,5,3.787879,0,0.000000,45,34.090909,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,58.000000,4,52.000000,4,28.000000,4
49,152,99.00635807,18.79894661,99.00588360,99.00683253,18.79849745,18.79939576,50,Built-up,75.206612,121,28,23.140496,0,0.000000,2,1.652893,0,0.000000,91,75.206612,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,58.000000,4,52.000000,4,29.000000,4
